,D,koff,End of flow ASI,End of maintenance ASI,End of flow posterior depletion,End of maintenance posterior depletion
0,1.0,0.005,0.18567046018754169,0.015623243788804026,0.45692002994267306,0.032309874529840125
1,0.1,0.005,0.25395239724760754,0.04315489009534026,0.6318866100121356,0.12223599954766995
2,0.1,0.05,0.03359025696389196,8.202354528597467e-09,0.12026036938049088,2.8772984265549673e-08
3,0.1,0.0005,0.4627869649042336,0.3631255291740674,0.9447577009642099,0.768941147179652
4,0.01,0.005,0.2507029035116329,0.04327042036551454,0.6420361581711804,0.14160893189003892
